Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A,pred_home,pred_draw,pred_away
13/04/2024,Newcastle,Tottenham,2.75,3.96,2.40,0.51,0.21,0.28
13/04/2024,Brentford,Sheffield United,1.44,5.14,6.82,0.63,0.26,0.11
13/04/2024,Burnley,Brighton,3.75,3.89,1.96,0.15,0.22,0.62
13/04/2024,Man City,Luton,1.09,12.83,24.96,0.73,0.24,0.03
13/04/2024,Nott'm Forest,Wolves,2.25,3.55,3.23,0.35,0.22,0.43
13/04/2024,Bournemouth,Man United,2.45,3.93,2.69,0.41,0.21,0.38
14/04/2024,Liverpool,Crystal Palace,1.24,7.04,11.69,0.69,0.26,0.05
14/04/2024,West Ham,Fulham,2.32,3.71,2.99,0.57,0.24,0.2
14/04/2024,Arsenal,Aston Villa,1.28,6.49,10.36,0.68,0.26,0.06
15/04/2024,Chelsea,Everton,1.67,4.24,4.91,0.54,0.24,0.22
20/04/2024,Luton,Brentford,2.81,3.73,2.41,0.44,0.23,0.33
20/04/2024,Sheffield United,Burnley,2.86,3.58,2.43,0.33,0.32,0.35
20/04/2024,Wolves,Arsenal,7.63,5.03,1.41,0.17,0.22,0.61
21/04/2024,Everton,Nott'm Forest,1.87,3.80,4.14,0.5,0.23,0.26
21/04/2024,Aston Villa,Bournemouth,1.83,4.19,3.95,0.69,0.21,0.1
21/04/2024,Crystal Palace,West Ham,2.46,3.46,2.91,0.31,0.22,0.47
21/04/2024,Fulham,Liverpool,5.03,4.53,1.61,0.18,0.21,0.62
23/04/2024,Arsenal,Chelsea,1.47,3.75,2.23,0.7,0.24,0.06
24/04/2024,Wolves,Bournemouth,1.85,2.47,2.10,0.51,0.21,0.28
24/04/2024,Crystal Palace,Newcastle,2.85,4.63,1.21,0.3,0.22,0.48
